Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
Suat MAMAT,Turkey,3,1,3,0,0,0,0,0,2,1,0,0,1.0,0.0
Arne NYBERG,Sweden,3,1,3,0,0,0,0,0,3,0,0,0,1.0,0.0
Johan CRUYFF,Netherlands,7,1,3,0,2,0,0,7,7,0,0,0,0.429,0.286
PREGUINHO,Brazil,2,1,3,0,0,0,0,2,2,0,0,0,1.5,0.0
DIRCEU,Brazil,19,3,3,0,1,0,0,0,11,8,0,0,0.158,0.053
Sven JONASSON,Sweden,5,2,3,0,0,0,0,0,5,0,0,0,0.6,0.0
Geza TOLDI,Hungary,6,2,3,0,0,0,0,0,4,2,0,0,0.5,0.0
ROBERTO DINAMITE,Brazil,12,2,3,0,1,0,0,0,5,7,0,0,0.25,0.083
Walter SCHACHNER,Austria,11,2,3,0,1,0,0,0,8,3,0,0,0.273,0.091
Gigi RIVA,Italy,9,2,3,0,0,0,0,0,8,1,0,0,0.333,0.0
Gianni RIVERA,Italy,15,4,3,0,1,0,0,0,5,10,0,0,0.2,0.067
BOUBA DIOP,Senegal,5,1,3,0,1,0,0,0,5,0,0,0,0.6,0.2
Dennis BERGKAMP,Netherlands,7,1,3,0,0,0,0,0,6,1,0,0,0.429,0.0
Tomas BROLIN,Sweden,10,2,3,0,1,0,0,0,10,0,1,0,0.3,0.1
ILHAN MANSIZ,Turkey,7,1,3,0,1,0,0,0,1,6,0,0,0.429,0.143
Buhran SARGUN,Turkey,3,1,3,0,0,0,0,0,2,1,0,0,1.0,0.0
LARSSON,Sweden,8,2,3,0,2,0,0,0,8,0,1,0,0.375,0.25
Stefan DOBAY,Romania,3,2,3,0,0,0,0,1,3,0,0,0,1.0,0.0
David PLATT,England,7,1,3,0,0,0,0,0,3,4,0,0,0.429,0.0
TOSTAO,Brazil,9,2,3,0,1,0,0,0,7,2,0,0,0.333,0.111
SOCRATES,Brazil,10,2,3,0,0,0,0,5,10,0,1,0,0.3,0.0
Leopold KIELHOLZ,Switzerland,5,2,3,0,0,0,0,0,2,3,0,0,0.6,0.0
Toza VESELINOVIC,Yugoslavia,7,2,3,0,0,0,0,0,4,3,0,0,0.429,0.0
Jorge BURRUCHAGA,Argentina,14,2,3,0,1,0,0,0,14,0,0,0,0.214,0.071
Julio Cesar ROMERO,Paraguay,4,1,2,0,1,0,0,0,4,0,0,0,0.5,0.25
Antonin PUC,Czechoslovakia,7,2,2,0,0,0,0,0,5,2,0,0,0.286,0.0
VALENCIA,Colombia,6,2,2,0,0,0,0,0,3,3,0,0,0.333,0.0
Ramon Maria CALDERE,Spain,5,1,2,0,1,0,0,0,3,2,0,0,0.4,0.2
Johan NEESKENS,Netherlands,14,2,2,0,3,0,0,0,11,3,3,0,0.143,0.214
NELINHO,Brazil,14,2,2,0,1,0,0,0,6,8,0,0,0.143,0.071
RUIZ B.,Costa Rica,5,1,2,0,1,0,0,5,5,0,0,0,0.4,0.2
DEL PIERO,Italy,11,2,2,0,0,0,0,0,2,9,0,0,0.182,0.0
WANCHOPE P.,Costa Rica,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
HOLMAN,Australia,3,1,2,0,0,0,0,0,1,2,0,0,0.667,0.0
Luis CUBILLA,Uruguay,12,3,2,0,0,0,0,0,8,4,0,0,0.167,0.0
McCARTHY,South Africa,6,2,2,0,1,0,0,0,6,0,0,0,0.333,0.167
HUMMELS,Germany,7,1,2,0,0,0,0,0,6,1,0,0,0.286,0.0
Julio ABBADIE,Uruguay,5,1,2,0,0,0,0,0,4,1,0,0,0.4,0.0
CHUNGYONG,South Korea,4,1,2,0,1,0,0,0,4,0,0,0,0.5,0.25
Alberto GALLARDO,Peru,4,1,2,0,0,0,0,0,4,0,0,0,0.5,0.0
